FMAO,7.60,48.40,7256.61,341.09
CRY,4.00,34.50,152861.33,340.49
LGIH,12.66,78.77,323102.98,340.00
DDD,1.30,96.42,2145538.59,339.59
HBNC,2.07,21.94,50774.37,339.17
BBSI,8.00,100.90,64140.49,339.05
AAP,24.17,200.38,1232483.41,337.24
IBB,19.68,132.67,3413035.46,336.05
EQIX,35.14,492.98,853377.78,336.04
CVTI,1.40,36.59,88288.65,334.49
LDL,2.04,64.20,81977.37,334.21
GNUS,0.07,12.15,33507.00,333.73
VRSK,26.25,117.94,860178.90,333.28
FIVE,26.50,114.79,998001.17,333.17
TSM,5.82,46.38,11994370.99,333.08
FNV,10.10,85.37,426959.93,333.03
ATHN,21.20,204.41,536040.94,331.42
AWK,16.53,92.25,973016.01,331.31
DENN,1.19,17.51,553459.58,331.18
AAOI,8.38,99.61,892113.25,330.42
HCKT,1.78,20.62,132759.47,328.48
FBHS,12.20,73.13,1387851.00,327.48
OLBK,4.50,35.50,17854.56,327.25
GWW,59.92,369.15,705116.29,327.03
PVH,13.63,168.16,1036885.72,326.41
IEX,16.74,153.76,408359.10,325.80
MLNX,6.42,119.93,516614.32,325.43
RMD,14.91,109.38,1081392.69,324.48
PANW,39.56,225.43,1473559.87,324.30
HUM,18.77,331.44,1896540.08,324.27
SFST,3.57,48.35,7355.86,323.64
APH,9.50,95.53,1926287.32,323.53
HCA,17.66,131.57,3177105.91,323.47
AMSF,12.40,67.85,93515.18,323.38
GNRC,10.65,61.17,560419.72,323.36
CHD,11.57,57.63,1682879.57,322.34
AMGN,39.97,200.40,5398842.65,321.97
TMO,28.90,235.50,2511796.91,320.63
ZG,6.74,65.21,1969680.15,319.95
VRSN,17.04,156.08,2282810.22,319.91
QTWO,10.03,63.70,234463.33,319.91
NOC,30.90,360.03,1734416.26,319.69
RP,14.52,61.50,384141.06,319.08
ELS,11.95,95.48,507545.08,318.75
HBCP,9.02,48.11,15882.56,318.26
TSN,4.40,83.62,4232191.24,317.74
MRTN,4.75,24.60,251647.39,317.62
SFS,0.03,19.15,215041.20,316.67
DAL,3.93,60.13,11673474.65,314.65
COLM,12.61,94.32,336124.46,314.24
BFAM,27.50,117.28,214361.48,314.12
PTSI,2.89,66.17,16887.69,312.78
CMCSA,5.61,42.99,31976301.64,312.43
DDS,2.78,142.22,851169.24,312.36
PLOW,10.89,49.40,112018.54,312.31
CPK,14.92,86.60,52542.92,310.93
MIME,6.20,45.94,266186.49,309.80
GPK,0.58,16.68,2028197.58,309.12
LOGM,15.43,133.80,365958.13,309.09
CARO,9.88,45.28,45424.63,308.28
HIIQ,3.84,56.75,227017.04,307.66
FDS,33.18,224.31,392533.71,307.47
ACXM,6.60,45.48,544155.33,307.35
GRUB,18.34,138.44,1765028.64,307.18
ACGL,5.01,34.13,2328699.25,305.71
SNPS,14.59,102.13,987471.55,305.28
TER,2.97,49.92,3436377.52,304.87
LRCX,15.00,228.65,2638100.34,304.55
HAS,21.32,115.95,1639229.94,303.96
BA,29.36,371.56,5125958.43,303.35
CIL,3.60,88.06,117424.00,303.32
PZZA,6.55,89.55,473686.84,302.52
CPS,28.00,144.83,71290.65,302.26
MSON,0.59,18.60,15859.21,301.73
PODD,2.67,101.93,443755.15,301.67
VICR,3.87,63.60,84725.88,301.61
MAR,11.64,147.99,3488675.35,299.82
STE,19.25,116.75,488537.29,299.41
LHCG,12.35,99.47,166602.87,299.32
ARGX,19.76,100.16,119709.15,298.83
CASY,18.39,135.92,426167.82,298.76
LANC,26.35,153.67,117943.55,297.70
MNTA,5.97,31.20,620764.54,296.93
